Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
BSFT,"BroadSoft, Inc.",55,$1.74B,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bsft,
BVSN,"BroadVision, Inc.",3.65,$18.21M,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bvsn,
BYFC,Broadway Financial Corporation,2.33,$63.96M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/byfc,
BWEN,"Broadwind Energy, Inc.",2.86,$43.32M,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/bwen,
BPY,Brookfield Property Partners L.P.,21.92,$5.59B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/bpy,
BRKL,"Brookline Bancorp, Inc.",15.75,$1.21B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/brkl,
BRKS,"Brooks Automation, Inc.",23.99,$1.69B,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/brks,
BRKR,Bruker Corporation,34.28,$5.33B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/brkr,
BMTC,Bryn Mawr Bank Corporation,44.9,$905.89M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bmtc,
BLMT,"BSB Bancorp, Inc.",29.9,$290.47M,2011,Finance,Major Banks,http://www.nasdaq.com/symbol/blmt,
BSQR,BSQUARE Corporation,4.7,$59.35M,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/bsqr,
BWLD,"Buffalo Wild Wings, Inc.",156.4,$2.43B,2003,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bwld,
BLDR,"Builders FirstSource, Inc.",21.79,$2.46B,2005,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/bldr,
BUR,Burcon NutraScience Corp,0.5484,$20.74M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/bur,
CFFI,C&F Financial Corporation,58.8,$205.08M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cffi,
CHRW,"C.H. Robinson Worldwide, Inc.",89.5,$12.5B,1997,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/chrw,
CA,CA Inc.,33.5,$14.02B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ca,
CCMP,Cabot Microelectronics Corporation,94.43,$2.39B,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/ccmp,
CDNS,"Cadence Design Systems, Inc.",42.25,$11.93B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdns,
CDZI,"Cadiz, Inc.",14.25,$324.93M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cdzi,
CZR,Caesars Entertainment Corporation,12.5,$8.8B,2012,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/czr,
CSTE,Caesarstone Ltd.,22.2,$761.94M,2012,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cste,
PRSS,CafePress Inc.,1.9799,$33.39M,2012,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/prss,
CLBS,"Caladrius Biosciences, Inc.",3.36,$31.82M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/clbs,
CHY,Calamos Convertible and High Income Fund,11.92,$864.64M,2003,n/a,n/a,http://www.nasdaq.com/symbol/chy,
CHI,Calamos Convertible Opportunities and Income Fund,11.33,$793.36M,2002,n/a,n/a,http://www.nasdaq.com/symbol/chi,
CCD,Calamos Dynamic Convertible & Income Fund,20.2,$492.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ccd,
CHW,Calamos Global Dynamic Income Fund,9.22,$544.04M,2007,n/a,n/a,http://www.nasdaq.com/symbol/chw,
CGO,Calamos Global Total Return Fund,15.05,$127.4M,2005,n/a,n/a,http://www.nasdaq.com/symbol/cgo,
CSQ,Calamos Strategic Total Return Fund,12.16,$1.88B,2004,n/a,n/a,http://www.nasdaq.com/symbol/csq,
CAMP,CalAmp Corp.,21.29,$758.45M,1983,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/camp,
CVGW,"Calavo Growers, Inc.",78.75,$1.38B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/cvgw,
CALA,"Calithera Biosciences, Inc.",8.35,$296.23M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cala,
CALD,"Callidus Software, Inc.",28.95,$1.97B,2003,Technology,EDP Services,http://www.nasdaq.com/symbol/cald,
CALM,"Cal-Maine Foods, Inc.",44.55,$2.16B,1996,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/calm,
CLMT,"Calumet Specialty Products Partners, L.P.",8.85,$679.06M,2006,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/clmt,
CLXT,"Calyxt, Inc.",22.84,$632.51M,2017,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/clxt,
ABCD,"Cambium Learning Group, Inc.",5.62,$262.28M,n/a,Consumer Services,Publishing,http://www.nasdaq.com/symbol/abcd,
CATC,Cambridge Bancorp,76.84,$313.68M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/catc,
CAC,Camden National Corporation,42.22,$655.09M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cac,
CAMT,Camtek Ltd.,5.79,$205.07M,2000,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/camt,
CSIQ,Canadian Solar Inc.,17.15,$991.83M,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/csiq,
CGIX,"Cancer Genetics, Inc.",1.9,$46.08M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cgix,
CPHC,Canterbury Park Holding Corporation,15.75,$69.47M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/cphc,
CPLA,Capella Education Company,79.25,$921.19M,2006,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/cpla,
CCBG,Capital City Bank Group,23.61,$400.57M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccbg,
CPLP,Capital Product Partners L.P.,3.37,$426.16M,2007,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/cplp,
CSWC,Capital Southwest Corporation,16.52,$264.64M,n/a,Consumer Non-Durables,Textiles,http://www.nasdaq.com/symbol/cswc,
CSWCL,Capital Southwest Corporation,26.05,n/a,n/a,Consumer Non-Durables,Textiles,http://www.nasdaq.com/symbol/cswcl,
CPTA,Capitala Finance Corp.,7.34,$116.97M,2013,n/a,n/a,http://www.nasdaq.com/symbol/cpta,
CPTAG,Capitala Finance Corp.,24.7494,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cptag,
CPTAL,Capitala Finance Corp.,25.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cptal,
CFFN,"Capitol Federal Financial, Inc.",13.52,$1.87B,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cffn,
CAPR,"Capricor Therapeutics, Inc.",1.58,$40.62M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/capr,
CSTR,"CapStar Financial Holdings, Inc.",21.64,$245.81M,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/cstr,
CPST,Capstone Turbine Corporation,0.8,$37.39M,2000,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cpst,
CARA,"Cara Therapeutics, Inc.",12.72,$414.78M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cara,
CARB,"Carbonite, Inc.",24.85,$694.49M,2011,Technology,EDP Services,http://www.nasdaq.com/symbol/carb,
CRME,Cardiome Pharma Corporation,1.62,$56.09M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crme,
CSII,"Cardiovascular Systems, Inc.",23.56,$803.9M,1981,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/csii,
CATM,Cardtronics plc,18.11,$827.29M,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/catm,
CDNA,"CareDx, Inc.",7.08,$202.51M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cdna,
CECO,Career Education Corporation,12.4,$856.76M,1998,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ceco,
CTRE,"CareTrust REIT, Inc.",16.79,$1.27B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ctre,
CARG,"CarGurus, Inc.",29.8,$3.16B,2017,Technology,EDP Services,http://www.nasdaq.com/symbol/carg,
CARO,Carolina Financial Corporation,37.26,$784.71M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caro,
CART,"Carolina Trust BancShares, Inc.",9.23,$42.98M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cart,
CRZO,"Carrizo Oil & Gas, Inc.",21.7,$1.77B,1997,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/crzo,
TAST,"Carrols Restaurant Group, Inc.",12.3,$444.75M,2006,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/tast,
CARV,"Carver Bancorp, Inc.",3.19,$11.79M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/carv,
CASM,"CAS Medical Systems, Inc.",0.68,$19.19M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/casm,
CASA,"Casa Systems, Inc.",15.85,$1.27B,2017,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/casa,
CASC,"Cascadian Therapeutics, Inc.",3.82,$193.14M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/casc,
CWST,"Casella Waste Systems, Inc.",22.34,$939.26M,1997,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/cwst,
CASY,"Caseys General Stores, Inc.",111.21,$4.18B,1983,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/casy,
CASI,"CASI Pharmaceuticals, Inc.",3.19,$207.56M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/casi,
CASS,"Cass Information Systems, Inc",59.58,$731.82M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cass,
CATB,"Catabasis Pharmaceuticals, Inc.",1.54,$35.55M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/catb,
CBIO,"Catalyst Biosciences, Inc. ",13.62,$58.71M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbio,
CPRX,"Catalyst Pharmaceuticals, Inc.",4.05,$415.02M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cprx,
CATS,"Catasys, Inc.",3.48,$55.29M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cats,
CATY,Cathay General Bancorp,42.67,$3.45B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/caty,
CATYW,Cathay General Bancorp,22.65,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/catyw,
CVCO,"Cavco Industries, Inc.",150.4,$1.36B,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/cvco,
CAVM,"Cavium, Inc.",85,$5.88B,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/cavm,
CBFV,"CB Financial Services, Inc.",30.3146,$123.93M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbfv,
CBAK,"CBAK Energy Technology, Inc.",1.475,$38.68M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cbak,
CBOE,"Cboe Global Markets, Inc.",124.76,$14.15B,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cboe,
CBTX,"CBTX, Inc.",29.35,$735.09M,2017,Finance,Major Banks,http://www.nasdaq.com/symbol/cbtx,
CDK,"CDK Global, Inc.",71.25,$9.8B,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cdk,
CDW,CDW Corporation,69.6,$10.65B,2013,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cdw,
CECE,CECO Environmental Corp.,5.05,$175.27M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cece,
CELC,Celcuity Inc.,19,$191.56M,2017,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/celc,
CELG,Celgene Corporation,104.46,$82.24B,1987,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celg,
CELGZ,Celgene Corporation,0.99,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/celgz,
CLDX,"Celldex Therapeutics, Inc.",2.88,$391.64M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/cldx,
APOP,Cellect Biotechnology Ltd.,6.84,$41.05M,2016,n/a,n/a,http://www.nasdaq.com/symbol/apop,
APOPW,Cellect Biotechnology Ltd.,2.11,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/apopw,
CLRB,"Cellectar Biosciences, Inc.",1.37,$21.67M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrb,
CLRBW,"Cellectar Biosciences, Inc.",0.1001,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrbw,
CLRBZ,"Cellectar Biosciences, Inc.",0.54,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clrbz,
CLLS,Cellectis S.A.,28.63,$1.01B,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/clls,
CBMG,"Cellular Biomedicine Group, Inc.",10.3,$144.31M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbmg,
CLSN,Celsion Corporation,2.87,$46.1M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clsn,
CELH,"Celsius Holdings, Inc.",5.2,$237.53M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/celh,
CYAD,Celyad SA,39.496,$389.51M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cyad,
CETX,Cemtrex Inc.,2.58,$27.23M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cetx,
CETXP,Cemtrex Inc.,5.05,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cetxp,
CETXW,Cemtrex Inc.,0.33,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cetxw,
CDEV,"Centennial Resource Development, Inc.",20.22,$5.58B,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cdev,
CSFL,CenterState Bank Corporation,26.2,$1.57B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/csfl,
CETV,Central European Media Enterprises Ltd.,4.6,$666.83M,1994,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/cetv,
CFBK,Central Federal Corporation,2.62,$60.62M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cfbk,
CENT,Central Garden & Pet Company,39.13,$2.03B,1993,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cent,
CENTA,Central Garden & Pet Company,37.93,$1.97B,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/centa,
CVCY,Central Valley Community Bancorp,19.37,$263.07M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvcy,
CENX,Century Aluminum Company,18.27,$1.6B,1996,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/cenx,
CNBKA,"Century Bancorp, Inc.",79.1498,$440.7M,1987,Finance,Major Banks,http://www.nasdaq.com/symbol/cnbka,
CNTY,"Century Casinos, Inc.",9.54,$280.09M,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/cnty,
CVO,Cenveo Inc,0.867,$7.44M,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/cvo,
CRNT,Ceragon Networks Ltd.,1.9,$148.09M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/crnt,
CERC,Cerecor Inc.,4.04,$105.26M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cerc,
CERCW,Cerecor Inc.,0.4965,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cercw,
CERN,Cerner Corporation,67.61,$22.47B,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern,
CERS,Cerus Corporation,3.41,$389.03M,1997,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cers,
KOOL,Cesca Therapeutics Inc.,2.8,$30.42M,n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kool,
CEVA,"CEVA, Inc.",45.9,$1.01B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva,
CSBR,"Champions Oncology, Inc.",3.93,$43.18M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/csbr,
CYOU,Changyou.com Limited,35.76,$1.87B,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou,
BURG,"Chanticleer Holdings, Inc.",2.56,$7.75M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/burg,
CTHR,Charles & Colvard Ltd.,1.37,$29.58M,1997,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cthr,
GTLS,"Chart Industries, Inc.",46.8,$1.44B,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gtls,
CHTR,"Charter Communications, Inc.",333.25,$83.27B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr,
CHFN,Charter Financial Corp.,17.9,$270.62M,2010,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chfn,
CHKP,Check Point Software Technologies Ltd.,103.31,$17.15B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp,
CHEK,Check-Cap Ltd.,0.8651,$14.69M,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chek,
CHEKW,Check-Cap Ltd.,0.2412,n/a,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chekw,
CKPT,"Checkpoint Therapeutics, Inc.",3.46,$88.26M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ckpt,
CEMI,"Chembio Diagnostics, Inc.",8.35,$102.86M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemi,
CHFC,Chemical Financial Corporation,53.79,$3.83B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chfc,
CCXI,"ChemoCentryx, Inc.",5.55,$270.65M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ccxi,
CHMG,Chemung Financial Corp,47.06,$223.08M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chmg,
CHKE,Cherokee Inc.,1.825,$25.46M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/chke,
CHFS,"CHF Solutions, Inc.",3.6,$6.48M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/chfs,
CHMA,"Chiasma, Inc.",1.65,$40.23M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/chma,
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",9.37,$108.73M,2017,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/csse,
PLCE,"Children&#39;s Place, Inc. (The)",144.4,$2.51B,1997,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/plce,
CMRX,"Chimerix, Inc.",4.59,$216.32M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmrx,
CADC,"China Advanced Construction Materials Group, Inc.",4.1,$9.79M,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cadc,
CALI,China Auto Logistics Inc.,3.25,$15.73M,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/cali,
CAAS,"China Automotive Systems, Inc.",4.84,$153.16M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/caas,
CBPO,"China Biologic Products Holdings, Inc.",79.1,$2.18B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbpo,
CCCL,"China Ceramics Co., Ltd.",2.04,$6.51M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cccl,
CCCR,"China Commercial Credit, Inc.",1.76,$34.23M,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/cccr,
CCRC,"China Customer Relations Centers, Inc.",17.62,$322.97M,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ccrc,
JRJC,China Finance Online Co. Limited,2.93,$69.21M,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jrjc,
HGSH,"China HGS Real Estate, Inc.",1.251,$56.36M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/hgsh,
CNIT,"China Information Technology, Inc.",1.47,$59.14M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit,
CIFS,China Internet Nationwide Financial Services Inc.,42.4,$933.78M,2017,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/cifs,
CJJD,"China Jo-Jo Drugstores, Inc.",1.32,$33.28M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cjjd,
CLDC,China Lending Corporation,3.4,$80.78M,2014,Finance,Diversified Financial Services,http://www.nasdaq.com/symbol/cldc,
HTHT,"China Lodging Group, Limited",140.59,$9.99B,2010,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/htht,
CHNR,"China Natural Resources, Inc.",2.7052,$67.39M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/chnr,
CREG,China Recycling Energy Corporation,2.85,$23.68M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/creg,
CNTF,China TechFaith Wireless Communication Technology Limited,2.74,$29.01M,2005,n/a,n/a,http://www.nasdaq.com/symbol/cntf,
CXDC,China XD Plastics Company Limited,4.575,$227.5M,n/a,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cxdc,
CCIH,ChinaCache International Holdings Ltd.,1.69,$43.24M,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih,
CNET,"ChinaNet Online Holdings, Inc.",1.08,$13.33M,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/cnet,
IMOS,ChipMOS TECHNOLOGIES INC.,17.27,$739.34M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos,
CDXC,ChromaDex Corporation,5.9,$317.4M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cdxc,
CHSCL,CHS Inc,28.27,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscl,
CHSCM,CHS Inc,26.63,$505.97M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscm,
CHSCN,CHS Inc,28.03,$470.9M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscn,
CHSCO,CHS Inc,29.17,$330.18M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chsco,
CHSCP,CHS Inc,30.14,$217.98M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscp,
CHDN,"Churchill Downs, Incorporated",229,$3.53B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/chdn,
CHUY,"Chuy&#39;s Holdings, Inc.",28.2,$476.97M,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/chuy,
CDTX,"Cidara Therapeutics, Inc.",7.35,$148.75M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cdtx,
CMCT,CIM Commercial Trust Corporation,20.15,$1.17B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmct,
CMPR,Cimpress N.V,117.37,$3.64B,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/cmpr,
CINF,Cincinnati Financial Corporation,74.55,$12.23B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf,
CIDM,Cinedigm Corp,1.4799,$51.7M,n/a,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/cidm,
CTAS,Cintas Corporation,156.02,$16.61B,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas,
CRUS,"Cirrus Logic, Inc.",51.96,$3.31B,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus,
CSCO,"Cisco Systems, Inc.",38.56,$190.63B,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco,
CTRN,"Citi Trends, Inc.",27.06,$371.8M,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/ctrn,
CTXR,"Citius Pharmaceuticals, Inc.",4.11,$34.62M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctxr,
CTXRW,"Citius Pharmaceuticals, Inc.",0.7387,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctxrw,
CZNC,Citizens & Northern Corp,24.12,$294.23M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cznc,
CZWI,"Citizens Community Bancorp, Inc.",13.58,$79.9M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/czwi,
CZFC,Citizens First Corporation,23.97,$60.56M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/czfc,
CIZN,Citizens Holding Company,23.15,$113.31M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cizn,
CTXS,"Citrix Systems, Inc.",88.44,$13.33B,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs,
CHCO,City Holding Company,68.23,$1.07B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chco,
CIVB,"Civista Bancshares, Inc. ",21.44,$218.06M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civb,
CIVBP,"Civista Bancshares, Inc. ",68.23,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civbp,
CLAR,Clarus Corporation,7.95,$238.83M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/clar,
CDTI,"Clean Diesel Technologies, Inc.",1.65,$26.07M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cdti,
CLNE,Clean Energy Fuels Corp.,2.09,$315.77M,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/clne,
CLNT,"Cleantech Solutions International, Inc.",6.95,$17.8M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt,
CACG,ClearBridge All Cap Growth ETF,27.92,$41.87M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cacg,
YLDE,ClearBridge Dividend Strategy ESG ETF,27.66,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ylde,
LRGE,ClearBridge Large Cap Growth ESG ETF,29.34,$2.93M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lrge,
